Anno,Tipo variazione,Codice Regione,Codice Unità territoriale sovracomunale,Codice Comune formato alfanumerico,Denominazione Comune,Codice Regione associato alla variazione,Codice Unità territoriale sovracomunale associato alla variazione,Codice del Comune associato alla variazione o nuovo codice Istat del Comune ,Denominazione Comune associata alla variazione o nuova denominazione,Provvedimento e Documento,Contenuto del provvedimento,Data decorrenza validità amministrativa,Flag_note
1992,AP,1,2,2023,Camandona,1,96,96009,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2024,Camburzano,1,96,96010,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2026,Campiglia Cervo,1,96,96011,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2027,Candelo,1,96,96012,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2028,Caprile,1,96,96013,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2034,Casapinta,1,96,96014,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2036,Castelletto Cervo,1,96,96015,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2037,Cavaglià,1,96,96016,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2039,Cerreto Castello,1,96,96017,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2040,Cerrione,1,96,96018,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2044,Coggiola,1,96,96019,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2046,Cossato,1,96,96020,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2050,Crevacuore,1,96,96021,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2051,Crosa,1,96,96022,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2053,Curino,1,96,96023,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2055,Donato,1,96,96024,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2056,Dorzano,1,96,96025,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2060,Gaglianico,1,96,96026,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2063,Gifflenga,1,96,96027,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2064,Graglia,1,96,96028,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2069,Lessona,1,96,96029,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2073,Magnano,1,96,96030,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2074,Massazza,1,96,96031,,Decreto Legislativo 6 marzo 1992,,,
