Anno;Tipo variazione;Codice Regione;Codice Unità territoriale sovracomunale;Codice Comune formato alfanumerico;Denominazione Comune;Codice Regione associato alla variazione;Codice Unità territoriale sovracomunale associato alla variazione;Codice del Comune associato alla variazione o nuovo codice Istat del Comune ;Denominazione Comune associata alla variazione o nuova denominazione;Provvedimento e Documento;Contenuto del provvedimento;Data decorrenza validità amministrativa;Flag_note
1992;AP;01;002;002139;Sordevolo;01;096;096063;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002140;Sostegno;01;096;096064;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002141;Strona;01;096;096065;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002143;Tavigliano;01;096;096066;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002144;Ternengo;01;096;096067;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002145;Tollegno;01;096;096068;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002146;Torrazzo;01;096;096069;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002149;Trivero;01;096;096070;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002151;Valdengo;01;096;096071;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002153;Vallanzengo;01;096;096072;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002154;Valle Mosso;01;096;096073;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002155;Valle San Nicolao;01;096;096074;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002157;Veglio;01;096;096075;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002159;Verrone;01;096;096076;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002160;Vigliano Biellese;01;096;096077;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002161;Villa del Bosco;01;096;096078;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002162;Villanova Biellese;01;096;096079;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
